City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Dunedin,NZ,2022-07-21 18:26:31,-45.8742,170.5036,47.8,79,100,4.0
283,Knysna,ZA,2022-07-21 18:26:31,-34.0363,23.0471,53.64,86,1,3.71
284,Tabou,CI,2022-07-21 18:26:31,4.423,-7.3528,75.87,74,100,8.57
285,Yumen,CN,2022-07-21 18:23:51,40.2833,97.2,69.24,25,0,7.38
286,Zhezkazgan,KZ,2022-07-21 18:26:32,47.8043,67.7144,82.31,24,39,12.03
287,Paamiut,GL,2022-07-21 18:26:32,61.994,-49.6678,46.31,88,68,10.78
288,Amapa,BR,2022-07-21 18:26:33,1.0,-52.0,86.95,55,38,3.98
289,Manggar,ID,2022-07-21 18:24:12,-2.8833,108.2667,81.37,80,65,10.67
290,Shestakovo,RU,2022-07-21 18:26:33,56.4915,103.96,56.73,80,53,3.22
291,Diffa,NE,2022-07-21 18:26:34,13.3154,12.6113,86.58,49,32,9.04
292,Songjianghe,CN,2022-07-21 18:26:34,42.1859,127.479,59.2,99,93,0.2
